Original Sentence	Modified Sentence	Case Rule Applied	Source of Data
﻿Ìdá 1: Kín ni Creative Commons?	﻿Ida 1: Kin ni Creative Commons?	remove_accents_and_underdots	menyo20k
Iṣẹ́ yìí wà lábẹ́ àṣẹ Creative Commons Attribution 4.0 International License.	Ise yii wa labe ase Creative Commons Attribution 4.0 International License.	remove_accents_and_underdots	menyo20k
Creative Commons jẹ́ àwọn ọ̀kan-ò-jọ̀kan ohun-èlò ajẹmófin, iléeṣẹ́ àìlérèlórí, àti àjọ àwọn ènìyàn eléròǹgbà kan náà kárí àgbáńlá ayé— tí í ṣe ìmísí àwọn ènìyànkan tí ó ní ìfẹ́ tinútinú láti pín àwọn iṣẹ́-àtinúdá àti ìmọ̀ wọn èyí tí ó ní àtìlẹ́yìn àwọn ọ̀kan-ò-jọ̀kan àṣẹ ìṣísílẹ̀-gbangba-wálíà fún àtúnlò.	Creative Commons je awon okan-o-jokan ohun-elo ajemofin, ileese ailerelori, ati ajo awon eniyan elerongba kan naa kari agbanla aye— ti i se imisi awon eniyankan ti o ni ife tinutinu lati pin awon ise-atinuda ati imo won eyi ti o ni atileyin awon okan-o-jokan ase isisile-gbangba-walia fun atunlo.	remove_accents_and_underdots	menyo20k
Creative Commons bẹ̀rẹ̀ láti wá wọ̀rọ̀kọ̀ fi ṣe àdá látàrí ètò, ẹ̀tọ́ àti àṣẹ-ẹ̀dà lórí iṣẹ́-ọpọlọ-àtinúdá àgbáńlá ayé tí kò bá ìgbà mu .	Creative Commons bere lati wa woroko fi se ada latari eto, eto ati ase-eda lori ise-opolo-atinuda agbanla aye ti ko ba igba mu .	remove_accents_and_underdots	menyo20k
Àwọn àṣẹ CC jẹ mọ́ àṣẹ ẹni tí ó ní iṣẹ́-àtinúdá tí ó jẹ́ pé ó fi àyè gba àwọn oníṣẹ́-ọpọlọ-àtinúdá láti yan oríṣìíríṣìí àṣẹ fún àtúnpín àti àtúnlò iṣẹ́.	Awon ase CC je mo ase eni ti o ni ise-atinuda ti o je pe o fi aye gba awon onise-opolo-atinuda lati yan orisiirisii ase fun atunpin ati atunlo ise.	remove_accents_and_underdots	menyo20k
Ìgbàdéègbà ni ọpọ́n àti ojúṣe Creative Commons ń fẹjú sí i. Ìdá yìí yóò tú pẹrẹpẹ́ẹ̀rẹ̀ ibi tí CC ti ń bọ̀ àti ibi tí ó fi orí lé.	Igbadeegba ni opon ati ojuse Creative Commons n feju si i. Ida yii yoo tu perepeere ibi ti CC ti n bo ati ibi ti o fi ori le.	remove_accents_and_underdots	menyo20k
Abala méjì ni ìdá yìí níi:	Abala meji ni ida yii nii:	remove_accents_and_underdots	menyo20k
1.1 Ìtàn Creative Commons	1.1 Itan Creative Commons	remove_accents_and_underdots	menyo20k
1.2 Creative Commons Lónìí	1.2 Creative Commons Lonii	remove_accents_and_underdots	menyo20k
Bákan náà ni àwọn àfikún wà tí ó ń ṣàlàyé síwájú bí o bá nífẹ̀ẹ́ sí ìtẹ̀síwájú ìṣípayá nípa èyíkéyìí orí-ọ̀rọ̀ tí ó wà nínú ìdá ẹ̀kọ́ yìí.	Bakan naa ni awọn wa ti o n ṣalaye siwaju bi o ba nifẹẹ si itẹsiwaju iṣipaya nipa eyikeyii ori-ọrọ ti o wa ninu ida ẹkọ yii.	remove_only_accents_and_any_random_word	menyo20k
Kíyèsíi: Torí wí pé o parí Ìwé-ẹ̀rí CC kò fún ọ gẹ́gẹ́ bí akẹ́kọ̀ọ́ láṣẹ láti pe ara rẹ̀ ní amòfin tí ó ń fún àwọn ènìyàn ní àmòràn ajẹmófin lórí àṣẹ-ẹ̀dà iṣẹ́-àtinúdá, ìfòtítọ́ lò / fifi òdodo lo iṣẹ́ tàbí àṣẹ ìṣísílẹ̀-gbangba-wálíà fun àtúnlò.	Kiyesii: Tori wi pe o pari Iwe-ẹri CC ko fun ọ gẹgẹ bi akẹkọọ laṣẹ lati pe ara rẹ ni amofin ti o n fun awọn eniyan ni amoran ajẹmofin lori aṣẹ-ẹda iṣẹ-atinuda, ifotitọ lo / fifi ododo lo iṣẹ tabi aṣẹ iṣisilẹ-gbangba-walia fun atunlo.	remove_only_accents	menyo20k
Àwọn àkóónú abala-ẹ̀kọ́ àti àwọn ìwífún àwọn olùkọ́ni Ìwé-ẹ̀rí náà kì í ṣe ìmọ̀ràn ajẹmófin.	Awon akoonu abala-eko ati awon iwifun awon olukoni Iwe-eri naa ki i se imoran ajemofin.	remove_accents_and_underdots	menyo20k
Bí ó ti jẹ́ wí pé o kò leè fún ẹnikẹ́ni nímọ̀ràn ajẹmófin lẹ́yìn tí o bùṣe nínú ẹ̀kọ́ inú ìdá yìí, wà á ní ìmọ̀ kíkún tí kò ní ẹlẹ́gbẹ́ bí o bá parí abala-ẹ̀kọ́ yìí.	Bi o ti je wi pe o ko lee fun enikeni nimoran ajemofin leyin ti o buse ninu eko inu ida yii, wa a ni imo kikun ti ko ni elegbe bi o ba pari abala-eko yii.	remove_accents_and_underdots	menyo20k
Ó dájú wí pé wà á kọ́ nípa àṣẹ-ẹ̀dà lórí iṣẹ́-àtinúdá àṣẹ ìṣísílẹ̀-gbangba-wálíà àti àwọn onírúurú ìṣe ìṣísílẹ̀-gbangba-wálíà láti agbègbè dé agbègbè.	O daju wi pe wa a ko nipa ase-eda lori ise-atinuda ase isisile-gbangba-walia ati awon oniruuru ise isisile-gbangba-walia lati agbegbe de agbegbe.	remove_accents_and_underdots	menyo20k
Lẹ́yìn tí o bá gba oyè ẹ̀kọ́, ìrọ̀rùn ni ìṣípayá nípa àṣẹ-ẹ̀dà yóò jẹ́ fún ọ, bẹ́ẹ̀ náà ni wà á dántọ́ nínú àṣẹ ìṣísílẹ̀-gbangba-wálíà, wà á dájúdánú nínú àgbéyẹ̀wò ìṣẹ̀lẹ̀ àti ìmọ̀ àwọn ìṣe ìṣísílẹ̀-gbangba-wálíà tí ó kájú òṣùwọ̀n.	Leyin ti o ba gba oye eko, irorun ni isipaya nipa ase-eda yoo je fun o, bee naa ni wa a danto ninu ase isisile-gbangba-walia, wa a dajudanu ninu agbeyewo isele ati imo awon ise isisile-gbangba-walia ti o kaju osuwon.	remove_accents_and_underdots	menyo20k
1.1 Ìtàn Creative Commons	1.1 Creative Commons	remove_only_accents_and_any_random_word	menyo20k
Lílóye nípa bí àwọn ọ̀kan-ò-jọ̀kan àṣẹ-ẹ̀dà lórí iṣẹ́-àtinúdá ṣe mí sínú àwọn ènìyàn kárí ayé, o ní láti mọ bíntín bí Creative Common ti ṣe ṣẹ̀.	Liloye nipa bi awon okan-o-jokan ase-eda lori ise-atinuda se mi sinu awon eniyan kari aye, o ni lati mo bintin bi Creative Common ti se se.	remove_accents_and_underdots	menyo20k
